iter	Passed	Remaining
399	52442	471978
400	52570	471821
401	52727	471923
402	52844	471662
403	53007	471819
404	53161	471888
405	53279	471644
406	53409	471497
407	53519	471183
408	53650	471044
409	53780	470910
410	53937	471002
411	54139	471487
412	54273	471378
413	54439	471546
414	54608	471736
415	54814	472247
416	55002	472602
417	55143	472547
418	55311	472726
419	55486	472953
420	55620	472836
421	55760	472771
422	55898	472694
423	56047	472703
424	56177	472553
425	56301	472355
426	56405	471982
427	56551	471970
428	56684	471841
429	56825	471783
430	56974	471787
431	57130	471855
432	57309	472105
433	57466	472180
434	57626	472270
435	57771	472239
436	57949	472483
437	58114	472607
438	58233	472368
