iter	Passed	Remaining
398	135685	34346
399	136060	34015
400	136518	33704
401	136860	33363
402	137294	33045
403	137691	32718
404	138028	32377
405	138398	32043
406	138779	31711
407	139160	31379
408	139389	31013
409	139797	30687
410	140157	30350
411	140555	30021
412	140933	29688
413	141336	29359
414	141686	29020
415	142071	28687
416	142440	28351
417	142836	28020
418	143219	27686
419	143619	27356
420	144004	27022
421	144319	26675
422	144718	26343
423	145118	26011
424	145566	25688
425	145934	25350
426	146351	25020
427	146715	24681
428	147082	24342
429	147511	24013
430	147868	23672
431	148274	23339
432	148665	23003
433	149059	22668
434	149471	22334
435	149869	21999
436	150261	21662
437	150675	21328
438	151092	20994
439	151521	20662
440	151931	20326
441	152305	19985
442	152729	19651
443	153079	19307
444	153411	18961
445	153967	18641
446	154316	18297
447	154659	17951
448	155118	17619
449	155537	17281
450	155979	16946
451	156332	16601
452	156722	16260
453	157133	15921
454	157476	15574
455	157895	15235
456	158266	14891
457	158630	14546
458	159024	14204
459	159431	13863
460	159805	13519
461	160184	13175
462	160571	12831
463	160948	12487
464	161289	12140
465	161644	11793
466	162028	11449
467	162385	11103
468	162768	10758
469	163146	10413
470	163491	10066
471	163869	9721
472	164275	9377
473	164591	9028
474	164980	8683
475	165400	8339
476	165809	7994
477	166209	7649
478	166576	7302
479	166978	6957
480	167313	6609
481	167698	6262
482	168059	5915
483	168404	5567
484	168731	5218
485	169122	4871
486	169471	4523
487	169833	4176
488	170212	3828
489	170537	3480
490	170957	3133
491	171376	2786
492	171726	2438
493	172062	2089
494	172455	1741
495	172813	1393
496	173175	1045
497	173791	697
498	174144	348
499	174457	0
