iter	MultiClass	Accuracy:use_weights=true	Accuracy:use_weights=false
67	0.568515261	0.7886039968	0.8023185484
68	0.5669293368	0.7887377269	0.8024445565
69	0.564396797	0.7890277691	0.8027469758
70	0.5615652734	0.7888004913	0.80234375
71	0.5590719962	0.7889378969	0.8024193548
72	0.5561465603	0.7889967527	0.8024697581
73	0.553397016	0.7891342214	0.8024445565
74	0.5515615307	0.7888606496	0.8022177419
75	0.5493127479	0.7893816567	0.8024949597
76	0.5465606871	0.7892714389	0.8020917339
77	0.5444697815	0.7892289603	0.8019657258
78	0.5422691747	0.7897115411	0.8023941532
79	0.5401842731	0.7897386576	0.8022681452
80	0.5380778422	0.7898264184	0.8022429435
81	0.5363515245	0.790035269	0.8024445565
82	0.5342703712	0.7904847701	0.802671371
83	0.5330239614	0.7906361103	0.802797379
84	0.5309560484	0.7907591697	0.8028477823
85	0.5292125897	0.790787087	0.802797379
86	0.5285192651	0.7907062496	0.8027721774
87	0.5266422118	0.7908123142	0.8028477823
88	0.5248387954	0.7906796283	0.8027217742
89	0.5238621242	0.7908571915	0.802797379
90	0.5223712517	0.7907796636	0.8025453629
91	0.5209866956	0.7909981409	0.8027217742
92	0.5201358908	0.79092587	0.8026965726
93	0.5185237547	0.7910348386	0.802797379
94	0.5171482157	0.7911037164	0.8027217742
95	0.5162692768	0.7912687114	0.8029485887
96	0.5151235552	0.7912780454	0.8028225806
97	0.5139399619	0.791304085	0.8028477823
98	0.51301245	0.7910795817	0.8025705645
99	0.5121545764	0.7912515844	0.802671371
100	0.5110844596	0.7912414562	0.8026209677
101	0.5096238572	0.7912587861	0.8026461694
102	0.5084135682	0.7914874907	0.8028729839
103	0.5070267522	0.7913908062	0.802797379
104	0.5060958135	0.7915508088	0.8028981855
105	0.5053959002	0.7916115138	0.8029737903
106	0.5045984044	0.7917057327	0.8030745968
107	0.5043634598	0.7916108744	0.8029233871
108	0.5033558236	0.7916593906	0.8029485887
109	0.5028432205	0.7916313691	0.8028729839
110	0.5016954077	0.7916951072	0.8029233871
111	0.5009292537	0.7916502865	0.8028729839
112	0.4999407382	0.7922415906	0.803452621
113	0.4988609592	0.7921424327	0.8033770161
114	0.4980147726	0.7923288331	0.8035030242
115	0.4967437391	0.7926597121	0.8038306452
116	0.4961341286	0.792772939	0.8038810484
117	0.4952321292	0.7928771079	0.8039818548
118	0.4946545374	0.7928644045	0.8039566532
119	0.4941064224	0.7930241445	0.8040826613
120	0.4933800162	0.7929459702	0.8040070565
121	0.4927200396	0.7928764382	0.80390625
122	0.4923678146	0.7929459702	0.8040070565
123	0.491664131	0.7931710501	0.8041834677
124	0.4914367804	0.7930301759	0.8040574597
125	0.490990368	0.7929831385	0.8040070565
126	0.4903962673	0.7931302595	0.8041330645
127	0.4902632749	0.7931480395	0.8041330645
128	0.4897131923	0.7932531317	0.804233871
129	0.4889670819	0.7932646488	0.8041582661
130	0.4883342812	0.7934013037	0.8042842742
131	0.4879210683	0.7934806958	0.8042842742
132	0.4873556562	0.7934673389	0.8042590726
133	0.4871075956	0.7933900735	0.8041582661
134	0.4865161997	0.793313279	0.8040574597
135	0.4859907862	0.7934030645	0.8041582661
136	0.4856222487	0.7939016446	0.8046118952
137	0.4852096609	0.7939042069	0.8045866935
138	0.4849001804	0.7939232227	0.8045614919
139	0.4846316797	0.7940234419	0.8045866935
140	0.484427948	0.793919296	0.8044354839
141	0.4839307013	0.7939996498	0.8045362903
142	0.4837036719	0.7941080959	0.8046370968
